MT_Neuron Name       :	SIM:MT'0	SIM:MT'1	SIM:MT'2	SIM:MT'3	SIM:MT'4	SIM:MT'5	SIM:MT'6	SIM:MT'7
189	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
190	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
191	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
192	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
193	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
194	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
195	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
196	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
197	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
198	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
199	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
